City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Clarksburg,US,39.2807,-80.3445,48.9,66,90,13.8,overcast clouds
323,Dabou,CI,5.3256,-4.3769,75.0,87,100,5.17,overcast clouds
324,Mwense,ZM,-10.3845,28.698,76.89,50,93,4.27,overcast clouds
325,Karangampel,ID,-6.4622,108.4519,84.02,65,96,3.02,moderate rain
326,Waddan,LY,29.1614,16.139,67.95,54,59,6.11,broken clouds
327,Eyrarbakki,IS,63.863,-21.1481,44.65,91,100,23.94,moderate rain
328,Malakal,SS,9.5334,31.6605,72.32,80,66,4.21,broken clouds
329,Mozarlandia,BR,-14.7447,-50.5706,75.63,86,100,8.7,overcast clouds
330,Shihezi,CN,44.3,86.0333,44.17,35,0,1.1,clear sky
331,Chichi,NG,7.2721,8.9332,77.27,83,99,4.9,overcast clouds
332,Yar-Sale,RU,66.8333,70.8333,17.35,94,99,7.83,light snow
333,Biscarrosse,FR,44.3945,-1.1672,52.34,100,90,1.14,fog
334,Beaufort,MY,5.3473,115.7455,83.16,75,31,1.36,scattered clouds
335,Burlington,US,39.8835,-74.6413,54.09,79,75,4.0,light rain
336,Voloshka,RU,61.3314,40.0858,37.9,97,100,8.86,overcast clouds
337,Hoi An,VN,15.8794,108.335,78.76,90,100,16.51,overcast clouds
338,Fairmount,US,43.0473,-76.2385,55.15,97,90,3.0,light rain
339,Mossendjo,CG,-2.9506,12.7261,70.56,99,100,1.99,light rain
340,Nanortalik,GL,60.1432,-45.2371,35.78,64,100,4.23,overcast clouds
341,Tifton,US,31.4505,-83.5085,62.53,73,1,5.75,clear sky
342,Gazanjyk,TM,39.2446,55.5154,49.06,87,100,7.9,overcast clouds
